Year,Month,Immature ,Mature
2004,1,3,163
2004,1,21,1096
2004,1,58,831
2004,1,26,177
2004,1,39,57
2004,1,25,61
2004,1,1,1
2004,1,0,35
2004,1,0,9
2004,1,165,1848
2004,1,111,2884
2004,1,79,756
2004,1,9,285
2004,1,7,39
2004,1,0,49
2004,1,3,25
2004,1,0,40
2004,1,0,87
2004,1,42,889
2004,1,91,1121
2004,1,80,866
2004,1,156,2103
2004,1,75,1247
2004,1,16,166
2004,1,0,5
2004,1,4,100
2004,1,17,400
2004,1,0,36
2004,1,7,126
2004,1,4,43
2004,1,16,221
2004,1,92,837
2004,1,12,200
2004,1,8,4
2004,1,7,42
2004,1,23,70
2004,1,1,142
2004,1,0,0
2004,1,4,53
2004,1,58,599
2004,1,95,521
2004,1,1,6
2004,1,0,149
2004,1,219,1448
2004,1,152,1763
2004,2,0,0
2004,2,0,7
2004,2,0,21
2004,2,0,11
2004,2,0,0
2004,2,0,0
2004,2,1,4
2004,2,0,38
2004,2,0,7
2004,2,0,1
2004,2,0,1
2004,2,8,19
2004,2,12,28
2004,2,0,18
2004,2,0,9
2004,2,1,9
2004,2,8,25
2004,2,3,158
2004,2,2,34
2004,2,1,6
2004,2,1,2
2004,2,28,40
2004,2,0,18
2004,2,15,173
2004,2,10,267
2004,2,6,57
2004,2,1,20
2004,2,0,1
2004,2,0,1
2004,2,27,246
2004,2,0,6
2004,2,8,177
2004,2,221,2735
2004,2,9,102
2004,2,6,83
2004,2,108,1789
2004,2,57,569
2004,2,0,577
2004,2,2,55
2004,2,9,198
2004,2,0,0
2004,2,113,2182
2004,2,4,44
2004,2,49,656
2004,2,258,2336
2004,2,63,1075
2004,2,63,36
2004,2,17,96
2004,2,59,181
2004,2,0,20
2004,2,6,16
2004,2,25,322
2004,2,190,1950
2004,2,91,496
2004,2,7,70
2004,2,99,772
2004,2,0,26
2004,2,49,327
2004,2,250,2907
2004,3,0,0
2004,3,0,39
2004,3,0,24
2004,3,0,14
2004,3,0,5
2004,3,8,22
2004,3,0,0
2004,3,11,38
2004,3,1,2
2004,3,7,26
2004,3,12,42
2004,3,6,29
2004,3,12,81
2004,3,4,8
2004,3,6,158
2004,3,10,96
2004,3,12,401
2004,3,27,152
2004,3,0,111
2004,3,363,3270
2004,3,3,74
2004,3,229,2830
2004,3,60,658
2004,3,59,789
2004,3,53,869
2004,3,2,25
2004,3,6,144
2004,3,7,171
2004,3,0,0
2004,3,25,489
2004,3,264,2812
2004,3,167,2257
2004,3,466,4226
2004,3,36,614
2004,3,68,38
2004,3,1,4
2004,3,3,9
2004,3,0,11
2004,3,219,650
2004,3,147,1866
2004,3,313,3211
2004,3,870,4771
2004,3,7,72
2004,3,0,5
2004,3,4,36
2004,3,0,257
2004,3,0,0
2004,3,30,231
2004,3,0,54
2004,3,0,0
2004,3,1887,5478
2004,3,30,1020
2004,3,0,0
2004,3,0,0
2004,3,180,2092
2004,3,38,2048
2004,3,41,404
2004,3,0,0
2004,4,0,23
2004,4,25,985
2004,4,0,214
2004,4,0,0
2004,4,0,5
2004,4,4,23
2004,4,3,48
2004,4,0,61
2004,4,0,26
2004,4,0,2
2004,4,0,18
2004,4,0,185
2004,4,9,115
2004,4,2,39
2004,4,24,260
2004,4,2,47
2004,4,3,375
2004,4,92,404
2004,4,8,70
2004,4,3,46
2004,4,25,1071
2004,4,42,1183
2004,4,9,170
2004,4,6,52
2004,4,311,854
2004,4,103,1777
2004,4,193,6127
2004,4,24,1663
2004,4,18,261
2004,4,11,4
2004,4,41,365
2004,4,536,4845
2004,4,317,5652
2004,4,297,2424
2004,4,1,106
2004,4,26,821
2004,4,7,828
2004,4,617,18124
2004,4,49,1322
2004,4,911,10753
2004,4,29,406
2004,4,179,4329
2004,4,133,4380
2004,4,381,5386
2004,5,0,33
2004,5,2,93
2004,5,0,43
2004,5,0,0
2004,5,0,26
2004,5,0,5
2004,5,1,31
2004,5,0,2
2004,5,18,103
2004,5,6,84
2004,5,0,0
2004,5,0,55
2004,5,0,0
2004,5,2,5
2004,5,10,104
2004,5,4,246
2004,5,2,111
2004,5,15,209
2004,5,6,134
2004,5,44,472
2004,5,1,37
2004,5,45,406
2004,5,53,985
2004,5,37,1592
2004,5,9,255
2004,5,15,295
2004,5,40,110
2004,5,35,598
2004,5,91,2885
2004,5,89,6268
2004,5,64,935
2004,5,105,59
2004,5,5,2
2004,5,34,306
2004,5,164,1482
2004,5,263,4689
2004,5,49,403
2004,5,0,0
2004,5,0,31
2004,5,31,965
2004,5,1,121
2004,5,702,20626
